customer_id,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,num_support_tickets,avg_monthly_gb,is_senior,has_dependents,churned
CUST-00001,14,25.33,344.91,two_year,bank_transfer,fiber_optic,1,181.1,0,0,0
CUST-00002,52,68.9,3631.93,month_to_month,electronic_check,fiber_optic,0,152.3,1,0,0
CUST-00003,11,60.5,672.15,two_year,electronic_check,dsl,0,141.8,1,0,1
CUST-00004,63,27.82,1737.45,month_to_month,bank_transfer,none,0,,0,0,0
CUST-00005,72,40.84,3021.26,month_to_month,electronic_check,none,4,,0,1,0
CUST-00006,43,38.26,1676.84,two_year,electronic_check,dsl,1,89.4,0,0,0
CUST-00007,11,107.62,1201.22,month_to_month,credit_card,dsl,0,164.0,0,1,1
CUST-00008,50,49.16,2396.5,month_to_month,credit_card,dsl,1,23.4,0,0,0
CUST-00009,31,57.42,1785.18,month_to_month,electronic_check,dsl,1,113.7,0,0,1
CUST-00010,53,37.19,1949.72,one_year,bank_transfer,fiber_optic,2,77.3,0,0,0
CUST-00011,10,111.68,1127.28,month_to_month,credit_card,dsl,1,105.7,0,0,1
CUST-00012,31,50.54,1607.74,one_year,credit_card,none,1,,1,0,0
CUST-00013,56,116.73,6679.44,month_to_month,credit_card,fiber_optic,2,98.8,1,0,0
CUST-00014,53,74.44,3893.89,month_to_month,credit_card,dsl,0,200.7,0,0,0
CUST-00015,21,59.59,1273.97,one_year,credit_card,fiber_optic,2,133.8,0,0,0
CUST-00016,39,104.16,4113.05,month_to_month,electronic_check,dsl,2,26.7,0,1,0
CUST-00017,30,49.49,1514.09,one_year,credit_card,dsl,5,117.7,0,0,0
CUST-00018,24,70.46,1655.24,one_year,mailed_check,fiber_optic,0,16.7,0,1,0
CUST-00019,31,27.96,875.33,two_year,bank_transfer,fiber_optic,1,120.7,0,1,0
CUST-00020,49,71.29,3505.97,month_to_month,bank_transfer,fiber_optic,2,67.9,0,0,0
CUST-00021,8,44.88,352.58,month_to_month,mailed_check,dsl,3,263.2,0,1,1
CUST-00022,55,104.93,5728.14,one_year,electronic_check,fiber_optic,1,109.8,1,0,0
CUST-00023,67,86.57,5920.63,month_to_month,mailed_check,fiber_optic,0,39.8,0,0,0
CUST-00024,43,103.65,4374.57,one_year,credit_card,dsl,0,75.4,1,0,0
CUST-00025,6,97.13,580.46,month_to_month,credit_card,none,1,,0,1,1
CUST-00026,46,86.8,3972.5,month_to_month,credit_card,dsl,1,120.8,0,0,0
CUST-00027,9,67.05,619.93,month_to_month,credit_card,dsl,2,81.3,0,0,1
