customer_id,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,num_support_tickets,avg_monthly_gb,is_senior,has_dependents,churned,retention_call_outcome
CUST-00001,69,62.04,4234.42,month_to_month,electronic_check,none,3,,0,0,1,churn_confirmed
CUST-00002,11,87.3,977.04,month_to_month,bank_transfer,dsl,2,66.1,1,1,1,churn_confirmed
CUST-00003,18,69.83,1261.23,month_to_month,electronic_check,fiber_optic,2,174.1,0,1,1,not_contacted
CUST-00004,71,64.53,4579.95,month_to_month,mailed_check,dsl,3,61.7,0,0,0,saved
CUST-00005,30,63.17,1911.01,month_to_month,credit_card,dsl,1,107.6,0,1,0,saved
CUST-00006,61,80.31,4768.21,month_to_month,electronic_check,dsl,2,110.4,0,0,0,saved
CUST-00007,71,49.4,3429.34,two_year,bank_transfer,fiber_optic,1,150.6,0,1,0,saved
CUST-00008,35,49.99,1742.59,two_year,electronic_check,dsl,2,310.0,0,1,0,saved
CUST-00009,22,64.84,1395.26,one_year,electronic_check,fiber_optic,3,100.2,0,0,1,churn_confirmed
CUST-00010,29,76.46,2190.85,one_year,electronic_check,fiber_optic,2,40.9,0,0,0,saved
CUST-00011,40,115.12,4606.44,two_year,bank_transfer,fiber_optic,1,54.4,0,0,1,churn_confirmed
CUST-00012,25,69.47,1751.7,month_to_month,electronic_check,dsl,1,24.6,0,1,1,churn_confirmed
CUST-00013,59,86.5,5060.68,two_year,electronic_check,dsl,1,208.6,1,1,0,saved
CUST-00014,49,75.17,3772.14,one_year,electronic_check,dsl,0,158.0,0,0,0,saved
CUST-00015,69,21.76,1543.36,one_year,electronic_check,dsl,2,62.1,0,1,0,saved
CUST-00016,29,28.52,822.31,one_year,credit_card,fiber_optic,2,81.5,0,0,0,saved
CUST-00017,28,52.1,1462.58,month_to_month,mailed_check,none,1,,0,0,0,saved
CUST-00018,71,19.47,1363.77,month_to_month,mailed_check,fiber_optic,1,112.8,0,0,0,saved
CUST-00019,56,57.39,3129.3,month_to_month,mailed_check,fiber_optic,1,86.8,0,0,0,saved
CUST-00020,55,25.14,1400.76,month_to_month,mailed_check,dsl,1,130.5,0,0,0,saved
CUST-00021,66,92.84,5978.92,month_to_month,electronic_check,dsl,2,284.8,0,0,1,churn_confirmed
