building_id,floor_area_m2,n_occupants,building_age_years,hvac_type,insulation_grade,avg_setpoint_c,solar_kw,has_smart_meter,monthly_kwh
BLDG-00001,309.4,2,44,gas,poor,19.8,0.0,1,428.0
BLDG-00002,47.1,6,26,electric,poor,24.3,,0,273.1
BLDG-00003,108.8,2,19,heat_pump,average,19.9,1.78,1,180.0
BLDG-00004,455.5,3,41,gas,poor,21.2,,0,588.3
BLDG-00005,189.8,5,21,gas,good,20.9,1.49,1,301.4
BLDG-00006,116.6,2,23,gas,average,21.8,0.0,1,255.1
BLDG-00007,353.4,2,39,electric,good,20.3,0.0,1,358.7
BLDG-00008,183.5,3,45,electric,good,19.2,,0,268.2
BLDG-00009,129.0,6,80,gas,good,22.1,,0,251.8
BLDG-00010,51.0,3,39,electric,average,19.9,,0,341.9
BLDG-00011,477.2,1,35,gas,poor,18.4,0.0,1,511.6
BLDG-00012,442.1,4,16,electric,average,17.4,0.0,1,563.8
BLDG-00013,470.1,2,62,gas,good,21.4,,0,462.8
BLDG-00014,440.7,1,17,gas,good,18.5,0.0,1,372.8
BLDG-00015,109.5,1,13,gas,poor,20.9,3.91,1,273.1
BLDG-00016,289.6,3,36,electric,average,19.5,0.0,1,402.8
BLDG-00017,350.7,2,7,heat_pump,good,21.4,0.0,1,362.3
BLDG-00018,223.1,4,74,electric,average,21.9,,0,561.6
BLDG-00019,350.9,3,59,electric,average,24.1,,0,438.3
BLDG-00020,342.1,3,12,heat_pump,average,21.8,0.0,1,337.0
BLDG-00021,370.3,2,64,electric,poor,19.8,0.48,1,639.6
BLDG-00022,177.0,1,0,gas,poor,20.5,0.0,1,434.0
BLDG-00023,456.1,3,16,gas,poor,19.1,,0,563.1
BLDG-00024,256.6,2,76,gas,poor,21.2,2.19,1,459.7
BLDG-00025,68.5,5,71,gas,poor,18.6,0.0,1,302.9
BLDG-00026,105.4,7,70,heat_pump,average,19.6,0.0,1,186.7
BLDG-00027,359.8,6,48,gas,good,20.6,0.19,1,472.6
BLDG-00028,432.9,5,80,electric,good,21.8,,0,489.9
BLDG-00029,267.1,3,31,electric,average,17.5,1.44,1,458.0
BLDG-00030,312.8,2,72,electric,average,20.0,2.92,1,341.6
BLDG-00031,437.2,3,47,gas,poor,19.6,0.0,1,384.0
BLDG-00032,112.0,3,38,electric,average,21.6,0.0,1,426.9
BLDG-00033,267.2,6,40,gas,average,22.7,0.0,1,424.5
BLDG-00034,435.9,4,71,gas,average,17.9,1.04,1,474.6
BLDG-00035,334.0,4,76,gas,average,19.5,,0,430.8
BLDG-00036,288.1,5,1,heat_pump,average,21.0,,0,355.1
BLDG-00037,197.7,1,21,gas,poor,22.1,,0,226.5
BLDG-00038,133.3,2,43,electric,average,19.0,0.0,1,294.4
BLDG-00039,362.4,6,50,gas,good,18.7,0.0,1,394.4
BLDG-00040,268.5,2,59,heat_pump,poor,19.7,0.0,1,432.2
BLDG-00041,447.4,4,72,electric,average,21.3,0.0,1,496.3
BLDG-00042,203.3,4,64,gas,average,20.8,,0,335.3
BLDG-00043,218.2,1,58,gas,poor,19.2,,0,534.8
BLDG-00044,406.3,1,55,electric,average,21.1,0.0,1,366.2
BLDG-00045,62.5,3,50,gas,poor,19.1,,0,233.8
BLDG-00046,345.0,4,51,electric,average,17.9,,0,565.2
BLDG-00047,168.2,3,17,gas,average,21.1,,0,279.5
BLDG-00048,97.4,5,26,heat_pump,good,23.8,8.09,1,180.8
BLDG-00049,274.2,2,5,electric,average,22.4,,0,504.4
BLDG-00050,380.9,3,39,gas,poor,21.4,,0,598.7
BLDG-00051,398.4,2,60,heat_pump,average,21.0,0.0,1,343.7
BLDG-00052,400.9,2,57,gas,average,22.6,0.0,1,359.0
BLDG-00053,45.6,3,15,electric,average,20.2,3.3,1,346.3
BLDG-00054,322.5,2,57,heat_pump,good,24.5,,0,419.8
BLDG-00055,212.9,5,52,electric,poor,20.1,4.7,1,377.1
BLDG-00056,400.6,1,49,heat_pump,poor,22.3,0.0,1,523.7
BLDG-00057,465.4,2,20,none,average,,0.0,1,345.2
BLDG-00058,318.8,4,79,electric,good,19.2,0.0,1,390.8
BLDG-00059,280.5,3,48,electric,average,17.9,0.0,1,415.3
